"-- Please Select --","-- Выберите --"
"Add to Cart","Добавить в корзину"
"Choose an Option...","Выберите вариант..."
"Configurable Swatches","Изображения настраиваемых товаров"
"Enabled","Включено"
"General Settings","Основные настройки"
"Height","Высота"
"In Stock","В наличии"
"Innermost dimensions, not including border, in pixels","Внутренний размер, не включающий рамку, в пикселях"
"Out of Stock","Нет в наличии"
"Previous","Предыдущий"
"Product Attribute to Use for Swatches in Product Listing","Атрибуты товара для использования в списке товаров"
"Product Attributes to Show as Swatches in Product Detail","Атрибуты товара для показа в просмотре товара"
"Remove This Item","Удалить эту позицию"
"Swatch Dimensions in Layered Navigation","Размеры в многослойной навигации"
"Swatch Dimensions in Product Listing","Размеры в списке товаров"
"Swatch Dimensions on Product Detail Page","Размеры в просмотре товара"
"Width","Ширина"
